Team,Day,Round,Tasting Date,Competition,CompetitionCode,flightcode,WineNodeID,Priority,winename,producer,appellation,vintage,price,SubmitterCompanyName,SubmitterTelephone,SubmitterWebsite,BottleSize,ResidualSugar,SweetnessLevel,WineClassName,CompetitionCategoryName,CountryName,WineType,WineColour
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_007,30097,7,Mosaic Rosé Brut 2015,Fox & Fox,England,2015,22.86,Fox & Fox - Mayfield (Lakestreet Vineyar LLP ),01435 872763,www.foxandfox.wine,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_013,28998,13,"Greyfriars, Rosé Reserve, Brut",Greyfriars,Surrey,2014,22.9,Greyfriars Vineyard,01483 813712,www.greyfriarsvineyard.co.uk,,<10g/litre,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_014,29344,14,"Hattingley Valley, Rosé",Hattingley Valley,Hampshire,2015,24.1,Hattingley Valley,1256389188,www.hattingleyvalley.co.uk,,<10g/litre,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_008,29851,8,Brut Rosé,Harrow & Hope,Buckinghamshire,2017,27.42,Harrow & Hope,1628481091,www.harrowandhope.com,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_009,28319,9,Bulari Rosé,Poulton Hill Vineyard,Cirencester,2015,27.99,Poulton Hill Estate,01285 850 257,www.poultonhillestate.co.uk,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 10,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_015,29376,15,Fitzrovia,Ridgeview Wine Estate,Sussex/south Downs,NV,28.3,Ridgeview Wine Estate,01444 242 040,,,<10g/litre,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,SPA-RO-E,2020_SPA-RO-E_010,28406,10,"Gusbourne, Brut Rosé",Gusbourne,Kent,2015,30,Gusbourne Estate,01233 884680,www.gusbourne.com,,,,Essentials,Sparkling - Rosé - England/Wales,England,Sparkling,Rosé
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_001,29449,1,Kleine Zalze Cellar Selection Chenin Blanc Bush Vines,Kleine Zalze Wines,Coastal Region,2019,5.99,Kleine Zalze,218800717,www.kleinezalze.co.za,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_002,31942,2,"Wild House Chenin Blanc, Wine of Origin Coastal Region",Boutinot South Africa,Coastal Region,2019,6.25, Boutinot Ltd,0161 908 1345,http://www.boutinot.com,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_003,30733,3,"Reign of Terroir Chenin Blanc, Swartland",Journeys End,Swartland,2019,7.36,Matthew Clark,1275890228,www.matthewclark.co.uk,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_004,29426,4,Kleine Zalze Vineyard Selection Chenin Blanc,Kleine Zalze Wines,Stellenbosch,2019,8.02,Kleine Zalze,218800717,www.kleinezalze.co.za,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_005,31802,5,Stellenrust Chenin Blanc,Stellenrust,Stellenbosch,2017,8.68,Bibendum Wine,7885709315,,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_006,30677,6,"Flagstone Tributary Chenin Blanc, South Africa",Accolade,South Africa,2018,8.75,Matthew Clark,1275890228,www.matthewclark.co.uk,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_007,30910,7,"Chenin Blanc, 'Steen Op Hout' Stellenbosh, Mulderbosch",Mulderbosch,Western Cape,2018,9.47, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_008,31302,8,Signature Chenin Blanc,Spier,Stellenbosch,2019,9.5,Bibendum Wine,7885709315,,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_009,30417,9,Chenin Blanc,Oldenburg,Stellenbosch,2018,10.55,Jeroboams ,2072888888,www.jeroboams.co.uk,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_010,32112,10,"Ken Forrester, Reserve, Chenin Blanc",Ken Forrester,Western Cape,2018,10.91,Enotria Winecellars Ltd,020 8963 4235,,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_011,32068,11,"2018 Chenin Blanc Reserve, Ken Forrester Wines",Ken Forrester Wines,Western Cape,2018,10.91,Enotria Winecellars Ltd,020 8963 4235,,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_012,31801,12,Stellenrust Barrel Fermented Chenin Blanc,Stellenrust,Stellenbosch,2018,14.45,Bibendum Wine,7885709315,,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_013,29252,13,Kleine Zalze Family Reserve Chenin Blanc,Kleine Zalze Wines,Stellenbosch,2018,15.97,Kleine Zalze,218800717,www.kleinezalze.co.za,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_014,32166,14,Kama Chenin Blanc,Dorrance,Stellenbosch,2018,17,Top Selection Ltd,2072904454,www.topselection.co.uk,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_015,31209,15,Te Arai Chenin Blanc,Millton Vineyards,Gisborne,2017,17.87,Bibendum Wine,7885709315,,,<10g/litre,,New World,Chenin Blanc,New Zealand,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_016,31089,16,Spier 21 Gables Chenin Blanc,SPIER WINES,Stellenbosch,2017,19.52,Bibendum Wine,7885709315,,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_017,30911,17,"Chenin Blanc Block W, Stellenbosch, Mulderbosch",Mulderbosch,Western Cape,2017,20.1, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 10,Day 1,1,24/02/2020,2020,NW-CB,2020_NW-CB_018,32070,18,"2018 The FMC, Chenin, Ken Forrester Wines",Ken Forrester Wines,Western Cape,2018,27.19,Enotria Winecellars Ltd,020 8963 4235,,,<10g/litre,,New World,Chenin Blanc,South Africa,Still,White
Team 9,Day 1,1,24/02/2020,2020,SHE-Fino-M,2020_SHE-FINO-M_001,29808,1,Pasada Pastrana Manzanilla,Bodegas Hidalgo-la Gitana,Jérez Superior,NV,9.36,Mentzendorff & co ltd,2078403600,www.mentzendorff.co.uk,75cl,,,Essentials,Sherry - Fino/Manzanilla,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Fino-M,2020_SHE-FINO-M_002,31051,2,La Guita Manzanilla,JOSE ESTEVEZ,Jerez,NV,9.94,Bibendum Wine,7885709315,,75cl,,,Essentials,Sherry - Fino/Manzanilla,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Fino-M,2020_SHE-FINO-M_003,31040,3,La Ina Fino Jerez,EMILIO LUSTAU,Jerez,NV,10.25,Bibendum Wine,7885709315,,75cl,,,Essentials,Sherry - Fino/Manzanilla,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Dry,2020_SHE-DRY_001,31041,1,Rio Viejo Dry Oloroso Jerez,EMILIO LUSTAU,Jerez,NV,12.17,Bibendum Wine,7885709315,,75cl,,,Essentials,Sherry - Dry Amontillado/Oloroso/Palo Cortado,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Dry,2020_SHE-DRY_002,31039,2,Tabanco Dry Amontillado Jerez,EMILIO LUSTAU,Jerez,NV,13.38,Bibendum Wine,7885709315,,75cl,,,Essentials,Sherry - Dry Amontillado/Oloroso/Palo Cortado,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Fino-M,2020_SHE-FINO-M_004,31608,4,Valdespino Inocente Fino,Valdespino,Jerez-xérès-sherry,NV,13.95,VALDESPINO (JOSE ESTEVEZ S.A.),956321004,www.grupoestevez.com,75cl,,,Essentials,Sherry - Fino/Manzanilla,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Fino-M,2020_SHE-FINO-M_005,30154,5,Fino Cebolla,Bodegas El Monte S.l.,Andalucía,NV,14.15,Bodegas EL MONTE,655867960,www.bodegaselmonte.com,75cl,,,Essentials,Sherry - Fino/Manzanilla,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Fino-M,2020_SHE-FINO-M_006,31052,6,La Guita En Rama Manzanilla,JOSE ESTEVEZ,Jerez,NV,15.62,Bibendum Wine,7885709315,,37.5cl,,,Essentials,Sherry - Fino/Manzanilla,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Dry,2020_SHE-DRY_005,31619,5,Amontillado Tío Diego,Valdespino (josé Estévez S.a.),Jerez-xérès-sherry,NV,15.65,VALDESPINO (JOSE ESTEVEZ S.A.),956321004,www.grupoestevez.com,75cl,<10g/litre,,Essentials,Sherry - Dry Amontillado/Oloroso/Palo Cortado,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Fino-M,2020_SHE-FINO-M_007,31612,7,"Hijos De Rainera Pérez Marín, La Guita, Manzanilla, En Rama, Limited Batch, Bottled In October 2019",Hijos De Rainera Pérez Marín,Sanlúcar De Barrameda,NV,16.8,VALDESPINO (JOSE ESTEVEZ S.A.),956321004,www.grupoestevez.com,37.5cl,<10g/litre,,Essentials,Sherry - Fino/Manzanilla,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Sw,2020_SHE-SW_001,30155,1,Px San Ramón 1992,Bodegas El Monte S.l.,Andalucía,NV,20.68,Bodegas EL MONTE,655867960,www.bodegaselmonte.com,75cl,,,Essentials,Sherry - Sweet (pale/PX),Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Sw,2020_SHE-SW_002,31148,2,Pedro Ximenez  Solera 1927,Bodegas Alvear,Andalucia,NV,26.64,Bibendum Wine,7885709315,,37.5cl,,,Essentials,Sherry - Sweet (pale/PX),Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,SHE-Med,2020_SHE-MED_001,31610,1,"Valdespino, Solera 1842, Vos, Medium Sweet, Very Old Oloroso Blend",Valdespino,Jerez,NV,28.8,VALDESPINO (JOSE ESTEVEZ S.A.),956321004,www.grupoestevez.com,75cl,>10g/litre,,Essentials,Sherry - Medium sweet Amontillado/Oloroso/Palo Cortado,Spain,Fortified,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_001,29996,1,The Crossings Pinot Noir,Yealands Wine Group,"Awatere Valley, Marlborough",2018,8.24,Yealands Wine Group,0064 3 575 7618,www.yealands.co.nz,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_002,31188,2,Vineyard Selection Pinot Noir,Giesen,Marlborough,2018,11.08,Bibendum Wine,7885709315,,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_003,30356,3,Pinot Noir,Hunter's Wines,Marlborough,2017,11.75,Jeroboams ,2072888888,www.jeroboams.co.uk,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_004,30903,4,"Pinot Noir 'The Nest', Marlborough, Lake Chalice",Lake Chalice,Marlborough,2018,12.48, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_005,29988,5,Yealands Estate Single Vineyard Pinot Noir,Yealands Wine Group,"Awatere Valley, Marlborough",2018,12.79,Yealands Wine Group,0064 3 575 7618,www.yealands.co.nz,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_006,30732,6,"Vavasour Pinot Noir, Awatere Valley",Foley Family,Awatere Valley,2016,12.92,Matthew Clark,1275890228,www.matthewclark.co.uk,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_007,31614,7,"Tupari, Pinot Noir",Tupari,Awatere Valley,2014,13.93,Ester Wines Ltd,2035794622,www.esterwines.co.uk,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_008,29897,8,Yealands Estate Winemaker's Reserve Marlborough Pinot Noir,Yealands Wine Group,"Awatere Valley, Marlborough",2017,16.17,Yealands Wine Group,0064 3 575 7618,www.yealands.co.nz,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_009,30897,9,"Pinot Noir, Pioneer Block 14 'Doctor's Creek', Marlborough, Saint Clair",Saint Clair,Marlborough,2018,18.02, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,NW-PIN-NZ-Marl,2020_NW-PIN-NZ-MARL_010,32048,10,2014 Rachel Pinot Noir,Seresin,Marlborough,2014,20.99,Enotria Winecellars Ltd,020 8963 4235,,,,,New World,Pinot Noir - New Zealand - Marlborough,New Zealand,Still,Red
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_001,30190,1,"Côtes Du Rhône, Remy Ferbras",Les Grandes Serres,Côtes Du Rhône,2018,6.18,Majestic Commercial,01923 298200,http://www.majesticcommercial.co.uk/index.html,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_008,29345,8,Cotes Du Rhone hommage Charles Tort,Charles Tort,Rhone Valley,2019,7.25,Frederic Robinson Limited,7854149790,www.robinsonsbrewery.com,,<10g/litre,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_009,29346,9,Cotes Du Rhone Plan De Dieu Charles Tort,Charles Tort,Cote Du Rhone,2016,8.25,Frederic Robinson Limited,7854149790,www.robinsonsbrewery.com,,<10g/litre,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_002,29278,2,"Domaine Des Carabiniers, Lunar Apogé, Côtes Du Rhône",Domaine Des Carabiniers,Rhône,2018,9,Davy's Wine Merchants,020 8858 6011,www.davywine.co.uk,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,SPN-N-W,2020_SPN-N-W_001,29276,1,Ochoa Uvadouble,Bodegas Ochoa,Navarra,2017,9.58,Davy's Wine Merchants,020 8858 6011,www.davywine.co.uk,,,,Old World,Spain - North - white,Spain,Still,White
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_003,32118,3,"Domaine Brusset, Laurent B, Côtes du Rhône",Domaine Brusset,Rhône,2019,10.23,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_004,31306,4,Haut du Brun Red,Vignobles Alain Jaume & Fils,Rhone Valley,2018,10.52,Bibendum Wine,7885709315,,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_005,32092,5,"Domaine de la Janasse, Côtes du Rhône Rouge",Domaine de la Janasse,Rhone,2018,10.95,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,SPN-N-W,2020_SPN-N-W_002,32013,2,"2018 Las Fincas Blanco 2 Garnachas, Chivite Family Estates",Bodegas Chivite,Navarra,2018,12.36,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,Spain - North - white,Spain,Still,White
Team 9,Day 1,1,24/02/2020,2020,SPN-N-W,2020_SPN-N-W_003,32010,3,"2018 Finca Legardeta Chardonnay, Chivite Family Estates",Bodegas Chivite,Navarra,2018,12.45,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,Spain - North - white,Spain,Still,White
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_006,31004,6,"Côtes du Rhône Villages Plan de Dieu Vielles Vignes, Domaine Saint Damien",Domaine Saint Damien,Rhône,2018,12.74, Hallgarten Druitt & Novum Wines,01582 406336,http://www.hnwines.co.uk,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,FR-RHO-CdR-R,2020_FR-RHO-CDR-R_007,31307,7,Les Champauvins,Vignobles Alain Jaume & Fils,Rhone Valley,2017,12.99,Bibendum Wine,7885709315,,,,,Old World,"France - Rhône - Côtes du Rhône, red",France,Still,Red
Team 9,Day 1,1,24/02/2020,2020,SPN-N-W-T,2020_SPN-N-W-T_001,31907,1,Gorka Izagirre Txakolí G22,Gorka Izagirre,Bizkaiko Txakolina,2017,13.25, Boutinot Ltd,0161 908 1345,http://www.boutinot.com,,,,Old World,"Spain - North - white, Txacoli",Spain,Still,White
Team 9,Day 1,1,24/02/2020,2020,SPN-N-W,2020_SPN-N-W_004,31700,4,ALBARIN,PARDEVALLES,CASTILLA Y LEON/ D.O.LEON,2019,20,JUNTA DE CASTILLA Y LEÓN/ICE,34983324143,,,,,Old World,Spain - North - white,Spain,Still,White
Team 9,Day 1,1,24/02/2020,2020,SPN-N-W-T,2020_SPN-N-W-T_002,31906,2,Gorka Izagirre 42 Zura,Gorka Izagirre,Bizkaiko Txakolina,2018,21.5, Boutinot Ltd,0161 908 1345,http://www.boutinot.com,,,,Old World,"Spain - North - white, Txacoli",Spain,Still,White
Team 8,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_001,32115,1,2018 Valpolicella Classico Le Miniere,Bertani,Veneto,2018,0,Enotria Winecellars Ltd,020 8963 4235,,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 9,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_019,28838,19,Valpolicella Monteci,Monteci,Veneto,2018,7.69,LWC DRINKS LTD,07816 648503,http://www.lwc-drinks.co.uk/,,<10g/litre,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 10,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_002,32263,2,Valpolicella DOC Classico Campagnola,Giuseppe Campagnola winery,Veneto,2019,8.2,EUROWINES LIMITED,8701621420,www.eurowines.co.uk,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 8,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_003,31234,3,Valpolicella Classico,Nicolis,Veneto,2018,10.69,Bibendum Wine,7885709315,,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 9,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_004,29545,4,`r` Valpolicella Superiore Ripasso,Alpha Zeta,Veneto,2018,10.8, Liberty Wines,020 7819 0333,http://www.libertywines.co.uk,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 10,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_005,32262,5,Valpolicella DOC Classico Superiore Ripasso,Giuseppe Campagnola winery,Veneto,2018,10.9,EUROWINES LIMITED,8701621420,www.eurowines.co.uk,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 8,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_006,31058,6,Valpolicella Classico La Dama,LA DAMA,VALPOLICELLA,2017,11.01,Bibendum Wine,7885709315,,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 9,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_020,30062,20,Montegradella Valpolicella Classico Superiore,Casa Vinicola Sartori,Veneto,2016,11.78,Casa Vinicola Sartori S.p.A.,3.90456E+11,www.sartorinet.com,,<10g/litre,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 10,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_007,28565,7,"Domìni Veneti, Vigneti Di Torbe, Valpolicella Ripasso Classico Superiore",Domìni Veneti,Valpolicella,2017,11.89,cantina valpolicella negrar,456014300,www.cantinanegrar.it,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 8,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_008,31908,8,Montresor Valpolicella Ripasso 'Capitel della Crosara',Giacomo Montresor,Veneto,2017,12, Boutinot Ltd,0161 908 1345,http://www.boutinot.com,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 9,Day 1,1,24/02/2020,2020,IT-NE-VAL,,30129,,Valpolicella Ripasso,Corte Giara,Veneto,2018,12.5,Allegrini,0039 045 6832011,,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 10,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_021,29406,21,Antichello Valpolicella Ripasso Superiore,Santa Sofia,Veneto,2016,13.4,SANTA SOFIA,3.90458E+11,http://www.santasofia.com/,,<10g/litre,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 8,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_010,30140,10,Ripasso Valpolicella,Bottega Spa,Veneto,2017,13.88,Bottega Spa,394384067,www.bottegaspa.com,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
Team 9,Day 1,1,24/02/2020,2020,IT-NE-VAL,2020_IT-NE-VAL_011,31059,11,"Valpolicella Ripasso Superiore Classico, La Dama",LA DAMA,VALPOLICELLA,2016,13.93,Bibendum Wine,7885709315,,,,,Old World,Italy - North-east - Valpolicella,Italy,Still,Red
